# x/m mT
-0.030000 1.895000
-0.025000 1.826000
-0.020000 1.764000
-0.015000 1.705000
-0.010000 1.657000
-0.005000 1.645000
0.000000 1.632000
0.005000 1.638000
0.010000 1.660000
0.015000 1.700000
0.020000 1.754000
0.025000 1.818000
0.030000 1.890000
0.090000 1.634000
0.100000 1.390000
0.110000 1.137000
0.120000 0.915000
